    1,As Ah Ad
    2,As Ah Ks
    3,As Ah Kd
    4,As Ah Qs
    5,As Ah Qd
    6,As Ah Js
    7,As Ah Jd
    8,As Ah Ts
    9,As Ah Td
   10,As Ah 9s
   11,As Ah 9d
   12,As Ah 8s
   13,As Ah 8d
   14,As Ah 7s
   15,As Ah 7d
   16,As Ah 6s
   17,As Ah 6d
   18,As Ah 5s
   19,As Ah 5d
   20,As Ah 4s
   21,As Ah 4d
   22,As Ah 3s
   23,As Ah 3d
   24,As Ah 2s
   25,As Ah 2d
   26,As Ks Kh
   27,As Kh Kd
   28,As Ks Qs
   29,As Ks Qh
   30,As Kh Qs
   31,As Kh Qh
   32,As Kh Qd
   33,As Ks Js
   34,As Ks Jh
   35,As Kh Js
   36,As Kh Jh
   37,As Kh Jd
   38,As Ks Ts
   39,As Ks Th
   40,As Kh Ts
   41,As Kh Th
   42,As Kh Td
   43,As Ks 9s
   44,As Ks 9h
   45,As Kh 9s
   46,As Kh 9h
   47,As Kh 9d
   48,As Ks 8s
   49,As Ks 8h
   50,As Kh 8s
   51,As Kh 8h
   52,As Kh 8d
   53,As Ks 7s
   54,As Ks 7h
   55,As Kh 7s
   56,As Kh 7h
   57,As Kh 7d
   58,As Ks 6s
   59,As Ks 6h
   60,As Kh 6s
   61,As Kh 6h
   62,As Kh 6d
   63,As Ks 5s
   64,As Ks 5h
   65,As Kh 5s
   66,As Kh 5h
   67,As Kh 5d
   68,As Ks 4s
   69,As Ks 4h
   70,As Kh 4s
   71,As Kh 4h
   72,As Kh 4d
   73,As Ks 3s
   74,As Ks 3h
   75,As Kh 3s
   76,As Kh 3h
   77,As Kh 3d
   78,As Ks 2s
   79,As Ks 2h
   80,As Kh 2s
   81,As Kh 2h
   82,As Kh 2d
   83,As Qs Qh
   84,As Qh Qd
   85,As Qs Js
   86,As Qs Jh
   87,As Qh Js
   88,As Qh Jh
   89,As Qh Jd
   90,As Qs Ts
   91,As Qs Th
   92,As Qh Ts
   93,As Qh Th
   94,As Qh Td
   95,As Qs 9s
   96,As Qs 9h
   97,As Qh 9s
   98,As Qh 9h
   99,As Qh 9d
  100,As Qs 8s
  101,As Qs 8h
  102,As Qh 8s
  103,As Qh 8h
  104,As Qh 8d
  105,As Qs 7s
  106,As Qs 7h
  107,As Qh 7s
  108,As Qh 7h
  109,As Qh 7d
  110,As Qs 6s
  111,As Qs 6h
  112,As Qh 6s
  113,As Qh 6h
  114,As Qh 6d
  115,As Qs 5s
  116,As Qs 5h
  117,As Qh 5s
  118,As Qh 5h
  119,As Qh 5d
  120,As Qs 4s
  121,As Qs 4h
  122,As Qh 4s
  123,As Qh 4h
  124,As Qh 4d
  125,As Qs 3s
  126,As Qs 3h
  127,As Qh 3s
  128,As Qh 3h
  129,As Qh 3d
  130,As Qs 2s
  131,As Qs 2h
  132,As Qh 2s
  133,As Qh 2h
  134,As Qh 2d
  135,As Js Jh
  136,As Jh Jd
  137,As Js Ts
  138,As Js Th
  139,As Jh Ts
  140,As Jh Th
  141,As Jh Td
  142,As Js 9s
  143,As Js 9h
  144,As Jh 9s
  145,As Jh 9h
  146,As Jh 9d
  147,As Js 8s
  148,As Js 8h
  149,As Jh 8s
  150,As Jh 8h
  151,As Jh 8d
  152,As Js 7s
  153,As Js 7h
  154,As Jh 7s
  155,As Jh 7h
  156,As Jh 7d
  157,As Js 6s
  158,As Js 6h
  159,As Jh 6s
  160,As Jh 6h
  161,As Jh 6d
  162,As Js 5s
  163,As Js 5h
  164,As Jh 5s
  165,As Jh 5h
  166,As Jh 5d
  167,As Js 4s
  168,As Js 4h
  169,As Jh 4s
  170,As Jh 4h
  171,As Jh 4d
  172,As Js 3s
  173,As Js 3h
  174,As Jh 3s
  175,As Jh 3h
  176,As Jh 3d
  177,As Js 2s
  178,As Js 2h
  179,As Jh 2s
  180,As Jh 2h
  181,As Jh 2d
  182,As Ts Th
  183,As Th Td
  184,As Ts 9s
  185,As Ts 9h
  186,As Th 9s
  187,As Th 9h
  188,As Th 9d
  189,As Ts 8s
  190,As Ts 8h
  191,As Th 8s
  192,As Th 8h
  193,As Th 8d
  194,As Ts 7s
  195,As Ts 7h
  196,As Th 7s
  197,As Th 7h
  198,As Th 7d
  199,As Ts 6s
  200,As Ts 6h
  201,As Th 6s
  202,As Th 6h
  203,As Th 6d
  204,As Ts 5s
  205,As Ts 5h
  206,As Th 5s
  207,As Th 5h
  208,As Th 5d
  209,As Ts 4s
  210,As Ts 4h
  211,As Th 4s
  212,As Th 4h
  213,As Th 4d
  214,As Ts 3s
  215,As Ts 3h
  216,As Th 3s
  217,As Th 3h
  218,As Th 3d
  219,As Ts 2s
  220,As Ts 2h
  221,As Th 2s
  222,As Th 2h
  223,As Th 2d
  224,As 9s 9h
  225,As 9h 9d
  226,As 9s 8s
  227,As 9s 8h
  228,As 9h 8s
  229,As 9h 8h
  230,As 9h 8d
  231,As 9s 7s
  232,As 9s 7h
  233,As 9h 7s
  234,As 9h 7h
  235,As 9h 7d
  236,As 9s 6s
  237,As 9s 6h
  238,As 9h 6s
  239,As 9h 6h
  240,As 9h 6d
  241,As 9s 5s
  242,As 9s 5h
  243,As 9h 5s
  244,As 9h 5h
  245,As 9h 5d
  246,As 9s 4s
  247,As 9s 4h
  248,As 9h 4s
  249,As 9h 4h
  250,As 9h 4d
  251,As 9s 3s
  252,As 9s 3h
  253,As 9h 3s
  254,As 9h 3h
  255,As 9h 3d
  256,As 9s 2s
  257,As 9s 2h
  258,As 9h 2s
  259,As 9h 2h
  260,As 9h 2d
