    1,As Ah
    2,As Ad
    3,As Ac
    4,Ah Ad
    5,Ah Ac
    6,Ad Ac
    7,As Ks
    8,As Kh
    9,As Kd
   10,As Kc
   11,Ah Ks
   12,Ah Kh
   13,Ah Kd
   14,Ah Kc
   15,Ad Ks
   16,Ad Kh
   17,Ad Kd
   18,Ad Kc
   19,Ac Ks
   20,Ac Kh
   21,Ac Kd
   22,Ac Kc
   23,As Qs
   24,As Qh
   25,As Qd
   26,As Qc
   27,Ah Qs
   28,Ah Qh
   29,Ah Qd
   30,Ah Qc
   31,Ad Qs
   32,Ad Qh
   33,Ad Qd
   34,Ad Qc
   35,Ac Qs
   36,Ac Qh
   37,Ac Qd
   38,Ac Qc
   39,As Js
   40,As Jh
   41,As Jd
   42,As Jc
   43,Ah Js
   44,Ah Jh
   45,Ah Jd
   46,Ah Jc
   47,Ad Js
   48,Ad Jh
   49,Ad Jd
   50,Ad Jc
   51,Ac Js
   52,Ac Jh
   53,Ac Jd
   54,Ac Jc
   55,As Ts
   56,As Th
   57,As Td
   58,As Tc
   59,Ah Ts
   60,Ah Th
   61,Ah Td
   62,Ah Tc
   63,Ad Ts
   64,Ad Th
   65,Ad Td
   66,Ad Tc
   67,Ac Ts
   68,Ac Th
   69,Ac Td
   70,Ac Tc
   71,As 9s
   72,As 9h
   73,As 9d
   74,As 9c
   75,Ah 9s
   76,Ah 9h
   77,Ah 9d
   78,Ah 9c
   79,Ad 9s
   80,Ad 9h
   81,Ad 9d
   82,Ad 9c
   83,Ac 9s
   84,Ac 9h
   85,Ac 9d
   86,Ac 9c
   87,As 8s
   88,As 8h
   89,As 8d
   90,As 8c
   91,Ah 8s
   92,Ah 8h
   93,Ah 8d
   94,Ah 8c
   95,Ad 8s
   96,Ad 8h
   97,Ad 8d
   98,Ad 8c
   99,Ac 8s
  100,Ac 8h
  101,Ac 8d
  102,Ac 8c
  103,As 7s
  104,As 7h
  105,As 7d
  106,As 7c
  107,Ah 7s
  108,Ah 7h
  109,Ah 7d
  110,Ah 7c
  111,Ad 7s
  112,Ad 7h
  113,Ad 7d
  114,Ad 7c
  115,Ac 7s
  116,Ac 7h
  117,Ac 7d
  118,Ac 7c
  119,As 6s
  120,As 6h
  121,As 6d
  122,As 6c
  123,Ah 6s
  124,Ah 6h
  125,Ah 6d
  126,Ah 6c
  127,Ad 6s
  128,Ad 6h
  129,Ad 6d
  130,Ad 6c
  131,Ac 6s
  132,Ac 6h
  133,Ac 6d
  134,Ac 6c
  135,As 5s
  136,As 5h
  137,As 5d
  138,As 5c
  139,Ah 5s
  140,Ah 5h
  141,Ah 5d
  142,Ah 5c
  143,Ad 5s
  144,Ad 5h
  145,Ad 5d
  146,Ad 5c
